accuracy,loss,val_accuracy,val_loss
0.7833792567253113,0.7090304493904114,0.9110236167907715,0.32957205176353455
0.9121701717376709,0.30172014236450195,0.9291338324546814,0.25834205746650696
0.9456478953361511,0.1970888376235962,0.9417322874069214,0.24350357055664062
0.9578574299812317,0.14920401573181152,0.9440944790840149,0.2040518969297409
0.9706577658653259,0.10856766998767853,0.943307101726532,0.20546124875545502
0.9761717319488525,0.08353094756603241,0.9519684910774231,0.19521774351596832
0.9763686656951904,0.0795021578669548,0.9574803113937378,0.1824110448360443
0.9846396446228027,0.05525544658303261,0.9511811137199402,0.2142137885093689
0.9830641746520996,0.060078054666519165,0.9511811137199402,0.27166280150413513
0.9860181212425232,0.05895180627703667,0.9590551257133484,0.20169690251350403
0.9915320873260498,0.030471498146653175,0.9503936767578125,0.23253123462200165
