accuracy,loss,val_accuracy,val_loss
0.7670342922210693,0.7507184147834778,0.8881889581680298,0.4119108319282532
0.8993698358535767,0.35779765248298645,0.9047244191169739,0.34492823481559753
0.9228042364120483,0.2779930830001831,0.925984263420105,0.2888014018535614
0.9330444931983948,0.22792871296405792,0.9385826587677002,0.2353324145078659
0.9505711197853088,0.18078409135341644,0.9496062994003296,0.21843183040618896
0.9596297740936279,0.15219438076019287,0.943307101726532,0.24057018756866455
0.9623867869377136,0.13628388941287994,0.9464566707611084,0.22158871591091156
0.9679007530212402,0.11828885972499847,0.9283464550971985,0.26880761981010437
0.9712485074996948,0.1043657436966896,0.9535433053970337,0.21144923567771912
0.9720362424850464,0.09735297411680222,0.9511811137199402,0.20022347569465637
0.981882631778717,0.07997208833694458,0.9566929340362549,0.2022865116596222
0.9793225526809692,0.08065596967935562,0.9551181197166443,0.21165697276592255
0.9816856980323792,0.06813976168632507,0.9488189220428467,0.23585227131843567
0.9826703667640686,0.06968732923269272,0.9519684910774231,0.2192479819059372
